Code,"Long Name","Income Group","Region","Lending category","Other groups","Currency Unit","Latest population census","Latest household survey","Special Notes","National accounts base year","National accounts reference year","System of National Accounts","SNA price valuation","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","Latest water withdrawal data","2-alpha code","WB-2 code","Table Name","Short Name"
SGP,"Republic of Singapore","High income: nonOECD","East Asia & Pacific","","","Singapore dollar","2010","National Health Survey (NHS), 2010","Fiscal year end: March 31; reporting period for national accounts data: CY. Country reports using a blend of SNA 1993 and SNA 2008. April 2012 database update: National accounts time series were replaced with official government statistics.","2010","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","","Yes","","2011","2013","1975","SG","SG","Singapore","Singapore"
SXM,"Sint Maarten (Dutch part)","High income: nonOECD","Latin America & Caribbean","","","Netherlands Antillean guilder","2011","","","","","Country uses the 1993 System of National Accounts methodology.","","","2011","","","","","","","Yes","","","","","SX","SX","Sint Maarten (Dutch part)","Sint Maarten (Dutch part)"
SVK,"Slovak Republic","High income: OECD","Europe & Central Asia","","Euro area","Euro","2011","World Health Survey (WHS), 2003","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Income survey (IS), 2012","Yes","2010","2010","2013","2007","SK","SK","Slovak Republic","Slovak Republic"
SVN,"Republic of Slovenia","High income: OECD","Europe & Central Asia","","Euro area","Euro","2011. Population data compiled from administrative registers.","World Health Survey (WHS), 2003","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2012","Yes","2010","2011","2013","2009","SI","SI","Slovenia","Slovenia"
SLB,"Solomon Islands","Lower middle income","East Asia & Pacific","IDA","","Solomon Islands dollar","2009","","National accounts data have been revised from 2007 to 2013 based on IMF reports.","2004","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011 (household consumption only).","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2005/06","","2012/13","","2013","","SB","SB","Solomon Islands","Solomon Islands"
SOM,"Somali Democratic Republic","Low income","Sub-Saharan Africa","IDA","HIPC","Somali shilling","1987","Multiple Indicator Cluster Survey (MICS), 2006","","1985","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","1977–90","","","Estimate","","","","","","","","","2003","SO","SO","Somalia","Somalia"
ZAF,"Republic of South Africa","Upper middle income","Sub-Saharan Africa","IBRD","","South African rand","2011","Demographic and Health Survey (DHS), 2003; World Health Survey (WHS), 2003","Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2010. South Africa reports using SNA 2008.","2010","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Preliminary","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2010/11","","2007","2010","2013","2000","ZA","ZA","South Africa","South Africa"
SSD,"Republic of South Sudan","Low income","Sub-Saharan Africa","IDA","","South Sudanese Pound","2008","Multiple Indicator Cluster Survey (MICS), 2010","South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available.","2009","","Country uses the 1993 System of National Accounts methodology.","","","","","","","","","Expenditure survey/budget survey (ES/BS), 2009","","","","2012","2011","SS","SS","South Sudan","South Sudan"
ESP,"Kingdom of Spain","High income: OECD","Europe & Central Asia","","Euro area","Euro","2011","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2010","Yes","2010","2010","2013","2008","ES","ES","Spain","Spain"
LKA,"Democratic Socialist Republic of Sri Lanka","Lower middle income","South Asia","Blend","","Sri Lankan rupee","2012","Demographic and Health Survey (DHS), 2006/07","","2002","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2013","Yes","2013/ 2014","2010","2013","2005","LK","LK","Sri Lanka","Sri Lanka"
KNA,"St. Kitts and Nevis","High income: nonOECD","Latin America & Caribbean","IBRD","","East Caribbean dollar","2011","","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","","Yes","","","2011","","KN","KN","St. Kitts and Nevis","St. Kitts and Nevis"
LCA,"St. Lucia","Upper middle income","Latin America & Caribbean","Blend","","East Caribbean dollar","2010","Multiple Indicator Cluster Survey (MICS), 2012","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","2006","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 1995","Yes","2007","","2008","2005","LC","LC","St. Lucia","St. Lucia"
MAF,"St. Martin (French part)","High income: nonOECD","Latin America & Caribbean","","","Euro","","","","","","Country uses the 1993 System of National Accounts methodology.","","","","","","","","","","","","","","","MF","MF","St. Martin (French part)","St. Martin (French part)"
VCT,"St. Vincent and the Grenadines","Upper middle income","Latin America & Caribbean","Blend","","East Caribbean dollar","2011","","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","","Yes","","","2012","1995","VC","VC","St. Vincent and the Grenadines","St. Vincent and the Grenadines"
SDN,"Republic of the Sudan","Lower middle income","Sub-Saharan Africa","IDA","HIPC","Sudanese pound","2008","Multiple Indicator Cluster Survey (MICS), 2014","Demographic data (total population, life expectancy, fertility, child mortality, migration), education series, and HIV prevalence are reported separately for Sudan and South Sudan; see specific notes for other series. National accounts data exclude South Sudan after July 9, 2011. Other data reported for Sudan generally include South Sudan to 2011 unless otherwise noted. External debt data and land-related data (including population density, but excluding surface area after 2010) for all years include South Sudan.","1981/82. Reporting period switch from fiscal year to calendar year from 1996. Pre-1996 data converted to calendar year.","1996","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Preliminary","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2009","","2013/ 2014","2001","2011","2011","SD","SD","Sudan","Sudan"
SUR,"Republic of Suriname","Upper middle income","Latin America & Caribbean","IBRD","","Suriname dollar","2012","Multiple Indicator Cluster Survey (MICS), 2010","","2007","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 1999","Yes","2008","2004","2011","2006","SR","SR","Suriname","Suriname"
SWZ,"Kingdom of Swaziland","Lower middle income","Sub-Saharan Africa","IBRD","","Swaziland lilangeni","2007","Multiple Indicator Cluster Survey (MICS), 2014","Fiscal year end: March 31; reporting period for national accounts data: CY. In 2011, the Central Statistical Office revised national accounts data for 1990 onward.","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2009/10","","2007. Population and Housing Census.","","2007","2000","SZ","SZ","Swaziland","Swaziland"
SWE,"Kingdom of Sweden","High income: OECD","Europe & Central Asia","","","Swedish krona","2011","","Fiscal year end: June 30; reporting period for national accounts data: CY.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Income survey (IS), 2005","Yes","2010","2010","2013","2007","SE","SE","Sweden","Sweden"
CHE,"Switzerland","High income: OECD","Europe & Central Asia","","","Swiss franc","2010","","","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2004","Yes","2008","2010","2013","2000","CH","CH","Switzerland","Switzerland"
SYR,"Syrian Arab Republic","Lower middle income","Middle East & North Africa","IBRD","","Syrian pound","2004","Multiple Indicator Cluster Survey (MICS), 2006","April 2013 database update: Based on data from the Central Bureau of Statistics, national accounts data were revised for 2003 onward.","2000","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","1970–2010","2011","IMF Balance of Payments Manual, 6th edition.","Estimate","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2004","","2014","2005","2010","2005","SY","SY","Syrian Arab Republic","Syrian Arab Republic"
TJK,"Republic of Tajikistan","Lower middle income","Europe & Central Asia","IDA","","Tajik somoni","2010","Demographic and Health Survey (DHS), 2012","","Original chained constant price data are rescaled.","2000","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1990–95","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Living Standards Measurement Study Survey (LSMS), 2009","","2013","","2000","2006","TJ","TJ","Tajikistan","Tajikistan"
TZA,"United Republic of Tanzania","Low income","Sub-Saharan Africa","IDA","HIPC","Tanzanian shilling","2012","HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014/15","The new base year is 2007. Tanzania reports using a blend of SNA 1993 and SNA 2008.","2007","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2011/12","","2007/08","2010","2013","2002","TZ","TZ","Tanzania","Tanzania"
THA,"Kingdom of Thailand","Upper middle income","East Asia & Pacific","IBRD","","Thai baht","2010","Multiple Indicator Cluster Survey (MICS), 2012","Fiscal year end: September 30; reporting period for national accounts data: CY.","1988","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2011","","2013","2006","2013","2007","TH","TH","Thailand","Thailand"
TMP,"Democratic Republic of Timor-Leste","Lower middle income","East Asia & Pacific","Blend","","U.S. dollar","2010","Demographic and Health Survey (DHS), 2009/10","Based on official government statistics, national account data have been revised, and value added is measured at basic prices; the new base year is 2010.","2010","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","","","","Special trade system","","General Data Dissemination System (GDDS)","Living Standards Measurement Study Survey (LSMS), 2007","","2010. Population and Housing Census.","","2013","2004","TL","TP","Timor-Leste","Timor-Leste"
TGO,"Republic of Togo","Low income","Sub-Saharan Africa","IDA","HIPC","CFA franc","2010","Demographic and Health Survey (DHS), 2013/14","April 2013 database update: Based on IMF data, national accounts data have been revised for 2000; the new base year is 2000.","2000","","Country uses the 1968 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ), 2011","","2011/2012","","2013","2002","TG","TG","Togo","Togo"
TON,"Kingdom of Tonga","Upper middle income","East Asia & Pacific","IDA","","Tongan pa'anga","2006","","2013 national accounts estimates are based on IMF reports. Fiscal year ends on June 30; reporting period for national accounts data: FY. April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised; the base year changed to 2010/11.","2010/11","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011 (household consumption only).","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","General Data Dissemination System (GDDS)","","","","","2012","","TO","TO","Tonga","Tonga"
TTO,"Republic of Trinidad and Tobago","High income: nonOECD","Latin America & Caribbean","IBRD","","Trinidad and Tobago dollar","2011","Multiple Indicator Cluster Survey (MICS), 2011","","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 1992","Yes","","2006","2010","2000","TT","TT","Trinidad and Tobago","Trinidad and Tobago"
TUN,"Republic of Tunisia","Upper middle income","Middle East & North Africa","IBRD","","Tunisian dinar","2014","Multiple Indicator Cluster Survey (MICS), 2011/12","National accounts data from 2005 onward have been revised based on data published by the Tunisian authorities. April 2012 database update: Based on data from the Central Bank and its Statistical Bulletin, national accounts data were revised for 1997 onward.","2005","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2010","","2014/ 2015","2010","2013","2001","TN","TN","Tunisia","Tunisia"
TUR,"Republic of Turkey","Upper middle income","Europe & Central Asia","IBRD","","New Turkish lira","2011","Turkey Demographic and Health Survey (TDHS), 2008","","1998","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2011","Yes","","2009","2013","2003","TR","TR","Turkey","Turkey"
TKM,"Turkmenistan","Upper middle income","Europe & Central Asia","IBRD","","New Turkmen manat","2012","Multiple Indicator Cluster Survey (MICS), 2006","On January 1, 2009, the Turkmen manat was redenominated (1 new manat = 5,000 old manats).","2005","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1987–95, 1997–2007","","IMF Balance of Payments Manual, 6th edition.","Estimate","General trade system","","","Living Standards Measurement Study Survey (LSMS), 1998","","","","2000","2004","TM","TM","Turkmenistan","Turkmenistan"
TCA,"Turks and Caicos Islands","High income: nonOECD","Latin America & Caribbean","","","U.S. dollar","2012","","","","","Country uses the 1993 System of National Accounts methodology.","","","2011","","","General trade system","","","","Yes","","","2012","","TC","TC","Turks and Caicos Islands","Turks and Caicos Islands"
TUV,"Tuvalu","Upper middle income","East Asia & Pacific","IDA","","Australian dollar","2012","","2013 national accounts estimates are based on IMF reports. Value added is measured at producer prices up to 1999 and at basic prices from 2000 onward.","2005","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011 (household consumption only).","","","General trade system","","General Data Dissemination System (GDDS)","","","","","2008","","TV","TV","Tuvalu","Tuvalu"
UGA,"Republic of Uganda","Low income","Sub-Saharan Africa","IDA","HIPC","Ugandan shilling","2014","Malaria Indicator Survey (MIS), 2014","Fiscal year end: June 30; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2009/10. Uganda reports using SNA 2008. Price valuation is in producer prices.","2009/10","","Country uses the 2008 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2012/13","","2008/ 2009","","2013","2002","UG","UG","Uganda","Uganda"
UKR,"Ukraine","Lower middle income","Europe & Central Asia","IBRD","","Ukrainian hryvnia","2001","Multiple Indicator Cluster Survey (MICS), 2012","","Original chained constant price data are rescaled.","2003","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1987–95","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2013","Yes","2012 /2013","2004","2013","2005","UA","UA","Ukraine","Ukraine"
ARE,"United Arab Emirates","High income: nonOECD","Middle East & North Africa","","","U.A.E. dirham","2010","World Health Survey (WHS), 2003","April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007.","2007","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","","","2012","2010","2011","2005","AE","AE","United Arab Emirates","United Arab Emirates"
GBR,"United Kingdom of Great Britain and Northern Ireland","High income: OECD","Europe & Central Asia","","","Pound sterling","2011","","","Original chained constant price data are rescaled.","2005","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Income survey (IS), 2010","Yes","2010","2010","2013","2007","GB","GB","United Kingdom","United Kingdom"
USA,"United States of America","High income: OECD","North America","","","U.S. dollar","2010","","Fiscal year end: September 30; reporting period for national accounts data: CY.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Labor force survey (LFS), 2010","Yes","2012","2008","2013","2005","US","US","United States","United States"
URY,"Oriental Republic of Uruguay","High income: nonOECD","Latin America & Caribbean","IBRD","","Uruguayan peso","2011","Multiple Indicator Cluster Survey (MICS), 2012/13","In 2011, the Central Bank revised national accounts data for 2006 onward.","2005","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2013","Yes","2011","2009","2013","2000","UY","UY","Uruguay","Uruguay"
UZB,"Republic of Uzbekistan","Lower middle income","Europe & Central Asia","Blend","","Uzbek sum","1989","Multiple Indicator Cluster Survey (MICS), 2006","","Original chained constant price data are rescaled.","1997","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1990–95","","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","","Expenditure survey/budget survey (ES/BS), 2011","Yes","","","","2005","UZ","UZ","Uzbekistan","Uzbekistan"
VUT,"Republic of Vanuatu","Lower middle income","East Asia & Pacific","IDA","","Vanuatu vatu","2009","Multiple Indicator Cluster Survey (MICS), 2007","2013 national accounts estimates are based on IMF reports. Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011 (household consumption only).","IMF Balance of Payments Manual, 6th edition.","Estimate","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","","","2007","","2011","","VU","VU","Vanuatu","Vanuatu"
VEN,"República Bolivariana de Venezuela","High income: nonOECD","Latin America & Caribbean","IBRD","","Venezuelan bolivar fuerte","2011","Multiple Indicator Cluster Survey (MICS), 2000","","1997","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2012","Yes","2007","","2011","2000","VE","VE","Venezuela, RB","Venezuela"
VNM,"Socialist Republic of Vietnam","Lower middle income","East Asia & Pacific","Blend","","Vietnamese dong","2009","Multiple Indicator Cluster Survey (MICS), 2013/14","Based on data from the Vietnam Statistics Office, national accounts data have been revised from 2000 onward; the new base year is 2010.","2010","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","1991","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2012","Yes","2011/ 2012","2011","2013","2005","VN","VN","Vietnam","Vietnam"
VIR,"Virgin Islands of the United States","High income: nonOECD","Latin America & Caribbean","","","U.S. dollar","2010","","","1982","","Country uses the 1968 System of National Accounts methodology.","","","","","","General trade system","","","","Yes","2007","","","","VI","VI","Virgin Islands (U.S.)","Virgin Islands"
WBG,"West Bank and Gaza","Lower middle income","Middle East & North Africa","","","Israeli new shekel","2007","Multiple Indicator Cluster Survey (MICS), 2014","The new base year is 2004.","2004","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2011","","","2010","","2005","PS","GZ","West Bank and Gaza","West Bank and Gaza"
YEM,"Republic of Yemen","Lower middle income","Middle East & North Africa","IDA","","Yemeni rial","2004","Demographic and Health Survey (DHS), 2013","Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The new base year is 2007.","2007","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","1990–96","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2005","","","2009","2013","2005","YE","RY","Yemen, Rep.","Yemen"
ZMB,"Republic of Zambia","Lower middle income","Sub-Saharan Africa","IDA","HIPC","New Zambian kwacha","2010","Demographic and Health Survey (DHS), 2013/14","The new base year is 2010. National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha. Zambia reports using SNA 2008.","2010","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","1990–92","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2010","","2010. Population and Housing Census.","","2013","2002","ZM","ZM","Zambia","Zambia"
ZWE,"Republic of Zimbabwe","Low income","Sub-Saharan Africa","Blend","","U.S. dollar","2012","Multiple Indicator Cluster Survey (MICS), 2014","Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.","2009","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1991, 1998","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2011/12","","","","2013","2002","ZW","ZW","Zimbabwe","Zimbabwe"
